Date	Time	Open	High	Low	Close	TickVolume	Volume	Spread
2018.05.24	12:00:00	109.706	109.750	109.626	109.703	2884	0	1
2018.05.24	13:00:00	109.703	109.764	109.670	109.680	1834	0	1
2018.05.24	14:00:00	109.680	109.707	109.610	109.622	2840	0	1
2018.05.24	15:00:00	109.624	109.725	109.511	109.638	4954	0	1
2018.05.24	16:00:00	109.638	109.638	109.102	109.153	8876	0	1
2018.05.24	17:00:00	109.153	109.222	108.992	109.036	11096	0	1
2018.05.24	18:00:00	109.036	109.305	108.952	109.302	7205	0	1
2018.05.24	19:00:00	109.302	109.328	109.243	109.327	3505	0	1
2018.05.24	20:00:00	109.327	109.373	109.277	109.306	2797	0	1
2018.05.24	21:00:00	109.306	109.368	109.282	109.290	2196	0	1
2018.05.24	22:00:00	109.290	109.322	109.227	109.270	1830	0	2
2018.05.24	23:00:00	109.270	109.310	109.239	109.241	1118	0	1
2018.05.25	00:00:00	109.241	109.284	109.050	109.191	2907	0	2
2018.05.25	01:00:00	109.191	109.266	109.129	109.261	2093	0	1
2018.05.25	02:00:00	109.259	109.340	109.243	109.312	1224	0	1
2018.05.25	03:00:00	109.312	109.546	109.237	109.521	5863	0	1
2018.05.25	04:00:00	109.521	109.743	109.519	109.620	6501	0	1
2018.05.25	05:00:00	109.620	109.639	109.537	109.570	2407	0	1
2018.05.25	06:00:00	109.570	109.603	109.537	109.576	1391	0	1
2018.05.25	07:00:00	109.576	109.580	109.512	109.538	1364	0	1
2018.05.25	08:00:00	109.538	109.589	109.534	109.565	1146	0	1
2018.05.25	09:00:00	109.564	109.574	109.379	109.386	4090	0	1
2018.05.25	10:00:00	109.386	109.460	109.342	109.378	4916	0	1
2018.05.25	11:00:00	109.377	109.541	109.328	109.535	4648	0	1
2018.05.25	12:00:00	109.536	109.594	109.450	109.463	2989	0	1
2018.05.25	13:00:00	109.463	109.488	109.389	109.415	2634	0	1
2018.05.25	14:00:00	109.415	109.491	109.369	109.381	4998	0	1
2018.05.25	15:00:00	109.381	109.488	109.295	109.350	6677	0	1
2018.05.25	16:00:00	109.351	109.376	109.122	109.183	8720	0	1
2018.05.25	17:00:00	109.184	109.361	109.158	109.266	5869	0	1
2018.05.25	18:00:00	109.266	109.428	109.240	109.354	3717	0	1
2018.05.25	19:00:00	109.354	109.429	109.333	109.429	2097	0	1
2018.05.25	20:00:00	109.430	109.458	109.368	109.427	2458	0	1
2018.05.25	21:00:00	109.427	109.480	109.366	109.377	1585	0	1
2018.05.25	22:00:00	109.377	109.490	109.376	109.456	1523	0	1
2018.05.25	23:00:00	109.456	109.570	109.368	109.382	1643	0	1
2018.05.28	00:00:00	109.727	109.831	109.569	109.806	3746	0	1
2018.05.28	01:00:00	109.806	109.810	109.613	109.641	4091	0	3
2018.05.28	02:00:00	109.641	109.661	109.607	109.612	1142	0	1
2018.05.28	03:00:00	109.612	109.747	109.462	109.477	4782	0	1
2018.05.28	04:00:00	109.477	109.522	109.312	109.375	5517	0	1
2018.05.28	05:00:00	109.375	109.446	109.365	109.438	2686	0	1
2018.05.28	06:00:00	109.438	109.480	109.371	109.442	1731	0	1
2018.05.28	07:00:00	109.444	109.499	109.368	109.405	1455	0	1
2018.05.28	08:00:00	109.405	109.563	109.390	109.556	2370	0	1
2018.05.28	09:00:00	109.556	109.611	109.433	109.453	3976	0	1
2018.05.28	10:00:00	109.453	109.467	109.383	109.449	4489	0	1
2018.05.28	11:00:00	109.449	109.490	109.382	109.388	3196	0	1
2018.05.28	12:00:00	109.388	109.473	109.370	109.421	3149	0	1
2018.05.28	13:00:00	109.421	109.422	109.300	109.378	5265	0	1
2018.05.28	14:00:00	109.378	109.389	109.329	109.348	2607	0	1
2018.05.28	15:00:00	109.348	109.372	109.230	109.348	4422	0	1
2018.05.28	16:00:00	109.348	109.349	109.248	109.283	3259	0	1
2018.05.28	17:00:00	109.283	109.372	109.261	109.354	2581	0	1
2018.05.28	18:00:00	109.355	109.376	109.327	109.361	1762	0	1
2018.05.28	19:00:00	109.361	109.436	109.361	109.417	1389	0	1
2018.05.28	20:00:00	109.417	109.417	109.314	109.362	2896	0	1
2018.05.28	21:00:00	109.362	109.400	109.332	109.377	2027	0	1
2018.05.28	22:00:00	109.377	109.427	109.363	109.420	2591	0	4
2018.05.28	23:00:00	109.420	109.434	109.386	109.404	3197	0	11
2018.05.29	00:00:00	109.399	109.423	109.200	109.374	4471	0	6
2018.05.29	01:00:00	109.374	109.466	109.366	109.449	872	0	1
2018.05.29	02:00:00	109.449	109.457	109.366	109.400	1160	0	1
2018.05.29	03:00:00	109.399	109.400	109.135	109.205	4465	0	1
2018.05.29	04:00:00	109.205	109.238	108.914	109.080	7628	0	1
2018.05.29	05:00:00	109.080	109.080	108.962	109.016	2653	0	1
2018.05.29	06:00:00	109.016	109.081	108.964	109.068	2586	0	1
2018.05.29	07:00:00	109.067	109.093	108.960	109.077	2164	0	1
2018.05.29	08:00:00	109.078	109.123	108.984	109.086	2718	0	1
2018.05.29	09:00:00	109.086	109.106	108.850	108.947	10194	0	1
2018.05.29	10:00:00	108.946	108.954	108.707	108.741	10392	0	1
2018.05.29	11:00:00	108.742	108.793	108.424	108.602	14545	0	1
2018.05.29	12:00:00	108.601	108.938	108.543	108.881	13333	0	1
2018.05.29	13:00:00	108.882	108.934	108.741	108.868	9436	0	1
2018.05.29	14:00:00	108.869	108.976	108.798	108.964	6340	0	1
2018.05.29	15:00:00	108.966	109.007	108.850	108.939	6309	0	1
2018.05.29	16:00:00	108.939	109.059	108.815	108.994	8151	0	1
2018.05.29	17:00:00	108.995	109.107	108.761	108.848	8522	0	1
2018.05.29	18:00:00	108.848	108.898	108.583	108.603	9313	0	1
2018.05.29	19:00:00	108.603	108.782	108.528	108.765	6759	0	1
2018.05.29	20:00:00	108.764	108.766	108.530	108.531	4912	0	1
2018.05.29	21:00:00	108.531	108.584	108.111	108.239	9772	0	1
2018.05.29	22:00:00	108.240	108.664	108.207	108.653	8486	0	1
2018.05.29	23:00:00	108.653	108.784	108.583	108.753	3175	0	1
2018.05.30	00:00:00	108.753	108.780	108.546	108.574	10182	0	0
2018.05.30	01:00:00	108.574	108.668	108.534	108.626	2632	0	1
2018.05.30	02:00:00	108.626	108.626	108.350	108.405	3565	0	1
2018.05.30	03:00:00	108.406	108.598	108.381	108.487	8021	0	1
2018.05.30	04:00:00	108.487	108.779	108.431	108.548	6811	0	1
2018.05.30	05:00:00	108.549	108.641	108.462	108.605	5644	0	1
2018.05.30	06:00:00	108.605	108.718	108.581	108.608	2927	0	1
2018.05.30	07:00:00	108.608	108.699	108.598	108.637	1811	0	1
2018.05.30	08:00:00	108.637	108.712	108.468	108.683	4571	0	1
2018.05.30	09:00:00	108.683	108.884	108.654	108.844	10024	0	1
2018.05.30	10:00:00	108.844	108.872	108.652	108.720	9269	0	1
2018.05.30	11:00:00	108.719	108.830	108.539	108.653	7060	0	1
2018.05.30	12:00:00	108.653	108.801	108.571	108.789	7292	0	1
2018.05.30	13:00:00	108.789	108.900	108.727	108.890	6803	0	1
2018.05.30	14:00:00	108.890	108.977	108.857	108.961	5132	0	1
2018.05.30	15:00:00	108.962	108.966	108.753	108.834	8418	0	1
2018.05.30	16:00:00	108.836	108.932	108.809	108.818	6874	0	1
2018.05.30	17:00:00	108.818	108.967	108.809	108.905	6411	0	1
2018.05.30	18:00:00	108.905	109.072	108.856	109.066	7633	0	1
2018.05.30	19:00:00	109.066	109.066	108.910	108.911	4481	0	1
2018.05.30	20:00:00	108.911	108.966	108.889	108.935	2153	0	1
2018.05.30	21:00:00	108.935	108.938	108.825	108.867	1870	0	1
2018.05.30	22:00:00	108.867	108.948	108.867	108.939	2122	0	1
